mode,path,run,time,stats
global,/hot/data/github_daily/2016-10-15.json,0,18.0218,"{""input"":{""input_file_count"":1,""total_input_row_count"":678134,""normal"":0,""general"":658722,""fallback"":19412,""unresolved"":0},""output"":{""normal"":19412,""except"":0},""timings"":{""fast_path_execution_time"":5.96906,""general_and_interpreter_time"":11.8941,""compile_time"":0.0491221},""hyper_active"":false}"
global,/hot/data/github_daily/2017-10-15.json,0,24.4516,"{""input"":{""input_file_count"":1,""total_input_row_count"":910100,""normal"":0,""general"":883993,""fallback"":26107,""unresolved"":0},""output"":{""normal"":26107,""except"":0},""timings"":{""fast_path_execution_time"":8.15144,""general_and_interpreter_time"":16.1478,""compile_time"":0.0490105},""hyper_active"":false}"
global,/hot/data/github_daily/2018-10-15.json,0,50.5413,"{""input"":{""input_file_count"":1,""total_input_row_count"":1522655,""normal"":0,""general"":1478251,""fallback"":44404,""unresolved"":0},""output"":{""normal"":44404,""except"":0},""timings"":{""fast_path_execution_time"":19.2604,""general_and_interpreter_time"":31.1272,""compile_time"":0.0496337},""hyper_active"":false}"
global,/hot/data/github_daily/2019-10-15.json,0,77.7211,"{""input"":{""input_file_count"":1,""total_input_row_count"":2134789,""normal"":0,""general"":2073452,""fallback"":61337,""unresolved"":0},""output"":{""normal"":61337,""except"":0},""timings"":{""fast_path_execution_time"":27.9696,""general_and_interpreter_time"":49.5792,""compile_time"":0.058127},""hyper_active"":false}"
global,/hot/data/github_daily/2020-10-15.json,0,130.058,"{""input"":{""input_file_count"":1,""total_input_row_count"":2963694,""normal"":0,""general"":2901340,""fallback"":62354,""unresolved"":0},""output"":{""normal"":62354,""except"":0},""timings"":{""fast_path_execution_time"":60.9365,""general_and_interpreter_time"":68.9468,""compile_time"":0.0585577},""hyper_active"":false}"
global,/hot/data/github_daily/2021-10-15.json,0,37.5453,"{""input"":{""input_file_count"":1,""total_input_row_count"":1078139,""normal"":0,""general"":1056826,""fallback"":21313,""unresolved"":0},""output"":{""normal"":21313,""except"":0},""timings"":{""fast_path_execution_time"":14.9341,""general_and_interpreter_time"":22.4376,""compile_time"":0.0601853},""hyper_active"":false}"
hyper,/hot/data/github_daily/2011-10-15.json,1,2.23343,"{""input"":{""input_file_count"":1,""total_input_row_count"":48899,""normal"":47615,""general"":1284,""fallback"":0,""unresolved"":0},""output"":{""normal"":1418,""except"":0},""timings"":{""fast_path_execution_time"":0.232256,""general_and_interpreter_time"":0.0597552,""compile_time"":0.0491453,""hyperspecialization_time"":1.76056},""hyper_active"":true}"
hyper,/hot/data/github_daily/2012-10-15.json,1,12.036,"{""input"":{""input_file_count"":1,""total_input_row_count"":165692,""normal"":84616,""general"":0,""fallback"":81076,""unresolved"":0},""output"":{""normal"":5907,""except"":0},""timings"":{""fast_path_execution_time"":1.14942,""general_and_interpreter_time"":8.38269,""compile_time"":0.114205,""hyperspecialization_time"":2.29254},""hyper_active"":true}"
hyper,/hot/data/github_daily/2013-10-15.json,1,9.28514,"{""input"":{""input_file_count"":1,""total_input_row_count"":296456,""normal"":248192,""general"":0,""fallback"":48264,""unresolved"":0},""output"":{""normal"":10628,""except"":0},""timings"":{""fast_path_execution_time"":2.11705,""general_and_interpreter_time"":5.06167,""compile_time"":0.112702,""hyperspecialization_time"":1.89628},""hyper_active"":true}"
hyper,/hot/data/github_daily/2014-10-15.json,1,83.9729,"{""input"":{""input_file_count"":1,""total_input_row_count"":476393,""normal"":155365,""general"":637,""fallback"":320391,""unresolved"":0},""output"":{""normal"":16014,""except"":0},""timings"":{""fast_path_execution_time"":20.3971,""general_and_interpreter_time"":61.5135,""compile_time"":0.374512,""hyperspecialization_time"":1.5905},""hyper_active"":true}"
hyper,/hot/data/github_daily/2015-10-15.json,1,6.20218,"{""input"":{""input_file_count"":1,""total_input_row_count"":737714,""normal"":737714,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":25301,""except"":0},""timings"":{""fast_path_execution_time"":4.56188,""general_and_interpreter_time"":1.0425e-05,""compile_time"":0.0485039,""hyperspecialization_time"":1.48722},""hyper_active"":true}"
hyper,/hot/data/github_daily/2016-10-15.json,1,5.23026,"{""input"":{""input_file_count"":1,""total_input_row_count"":678134,""normal"":678134,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":19412,""except"":0},""timings"":{""fast_path_execution_time"":3.63877,""general_and_interpreter_time"":9.83e-06,""compile_time"":0.0486507,""hyperspecialization_time"":1.44288},""hyper_active"":true}"
