mode,path,run,time,stats
hyper,/hot/data/flights_all/flights_on_time_performance_1989_01.csv,0,3.39993,"{""input"":{""input_file_count"":1,""total_input_row_count"":440022,""normal"":431260,""general"":8762,""fallback"":0,""unresolved"":0},""output"":{""normal"":440022,""except"":0},""timings"":{""fast_path_execution_time"":2.93862,""general_and_interpreter_time"":0.0714663,""compile_time"":0.12043,""hyperspecialization_time"":0.200007},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_02.csv,0,3.13823,"{""input"":{""input_file_count"":1,""total_input_row_count"":395176,""normal"":385612,""general"":9564,""fallback"":0,""unresolved"":0},""output"":{""normal"":395176,""except"":0},""timings"":{""fast_path_execution_time"":2.67678,""general_and_interpreter_time"":0.0717593,""compile_time"":0.12001,""hyperspecialization_time"":0.204453},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_03.csv,0,3.59131,"{""input"":{""input_file_count"":1,""total_input_row_count"":435181,""normal"":410984,""general"":24197,""fallback"":0,""unresolved"":0},""output"":{""normal"":435181,""except"":0},""timings"":{""fast_path_execution_time"":3.1152,""general_and_interpreter_time"":0.07934,""compile_time"":0.119632,""hyperspecialization_time"":0.207533},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_04.csv,0,3.12396,"{""input"":{""input_file_count"":1,""total_input_row_count"":405604,""normal"":6384,""general"":399220,""fallback"":0,""unresolved"":0},""output"":{""normal"":405604,""except"":0},""timings"":{""fast_path_execution_time"":2.40405,""general_and_interpreter_time"":0.34724,""compile_time"":0.118689,""hyperspecialization_time"":0.207559},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_05.csv,0,3.2596,"{""input"":{""input_file_count"":1,""total_input_row_count"":416160,""normal"":412510,""general"":3650,""fallback"":0,""unresolved"":0},""output"":{""normal"":416160,""except"":0},""timings"":{""fast_path_execution_time"":2.79313,""general_and_interpreter_time"":0.0688364,""compile_time"":0.120113,""hyperspecialization_time"":0.210852},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_06.csv,0,3.19945,"{""input"":{""input_file_count"":1,""total_input_row_count"":406293,""normal"":401130,""general"":5163,""fallback"":0,""unresolved"":0},""output"":{""normal"":406293,""except"":0},""timings"":{""fast_path_execution_time"":2.73134,""general_and_interpreter_time"":0.0691002,""compile_time"":0.119613,""hyperspecialization_time"":0.211748},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_07.csv,0,3.29867,"{""input"":{""input_file_count"":1,""total_input_row_count"":417166,""normal"":412976,""general"":4190,""fallback"":0,""unresolved"":0},""output"":{""normal"":417166,""except"":0},""timings"":{""fast_path_execution_time"":2.82565,""general_and_interpreter_time"":0.0685979,""compile_time"":0.119822,""hyperspecialization_time"":0.216581},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_08.csv,0,3.33508,"{""input"":{""input_file_count"":1,""total_input_row_count"":426085,""normal"":422505,""general"":3580,""fallback"":0,""unresolved"":0},""output"":{""normal"":426085,""except"":0},""timings"":{""fast_path_execution_time"":2.86119,""general_and_interpreter_time"":0.068139,""compile_time"":0.119895,""hyperspecialization_time"":0.215117},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_09.csv,0,3.23113,"{""input"":{""input_file_count"":1,""total_input_row_count"":415068,""normal"":408982,""general"":6086,""fallback"":0,""unresolved"":0},""output"":{""normal"":415068,""except"":0},""timings"":{""fast_path_execution_time"":2.75789,""general_and_interpreter_time"":0.0692963,""compile_time"":0.119858,""hyperspecialization_time"":0.218973},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_10.csv,0,3.42127,"{""input"":{""input_file_count"":1,""total_input_row_count"":437134,""normal"":431933,""general"":5201,""fallback"":0,""unresolved"":0},""output"":{""normal"":437134,""except"":0},""timings"":{""fast_path_execution_time"":2.93885,""general_and_interpreter_time"":0.068677,""compile_time"":0.121001,""hyperspecialization_time"":0.222404},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_11.csv,0,3.29186,"{""input"":{""input_file_count"":1,""total_input_row_count"":417821,""normal"":413260,""general"":4561,""fallback"":0,""unresolved"":0},""output"":{""normal"":417821,""except"":0},""timings"":{""fast_path_execution_time"":2.81153,""general_and_interpreter_time"":0.0688172,""compile_time"":0.119624,""hyperspecialization_time"":0.223999},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1989_12.csv,0,3.40154,"{""input"":{""input_file_count"":1,""total_input_row_count"":429490,""normal"":418222,""general"":11268,""fallback"":0,""unresolved"":0},""output"":{""normal"":429490,""except"":0},""timings"":{""fast_path_execution_time"":2.91017,""general_and_interpreter_time"":0.0720573,""compile_time"":0.119459,""hyperspecialization_time"":0.227535},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_01.csv,0,3.44413,"{""input"":{""input_file_count"":1,""total_input_row_count"":442700,""normal"":433348,""general"":9352,""fallback"":0,""unresolved"":0},""output"":{""normal"":442700,""except"":0},""timings"":{""fast_path_execution_time"":2.95265,""general_and_interpreter_time"":0.0709345,""compile_time"":0.119351,""hyperspecialization_time"":0.230865},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_02.csv,0,3.20982,"{""input"":{""input_file_count"":1,""total_input_row_count"":396926,""normal"":387570,""general"":9356,""fallback"":0,""unresolved"":0},""output"":{""normal"":396926,""except"":0},""timings"":{""fast_path_execution_time"":2.71963,""general_and_interpreter_time"":0.0709751,""compile_time"":0.119278,""hyperspecialization_time"":0.234081},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_03.csv,0,3.47233,"{""input"":{""input_file_count"":1,""total_input_row_count"":444320,""normal"":437164,""general"":7156,""fallback"":0,""unresolved"":0},""output"":{""normal"":444320,""except"":0},""timings"":{""fast_path_execution_time"":2.97368,""general_and_interpreter_time"":0.0696667,""compile_time"":0.119143,""hyperspecialization_time"":0.237641},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_04.csv,0,3.39723,"{""input"":{""input_file_count"":1,""total_input_row_count"":433420,""normal"":430611,""general"":2809,""fallback"":0,""unresolved"":0},""output"":{""normal"":433420,""except"":0},""timings"":{""fast_path_execution_time"":2.89994,""general_and_interpreter_time"":0.0671267,""compile_time"":0.119272,""hyperspecialization_time"":0.241272},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_05.csv,0,3.47022,"{""input"":{""input_file_count"":1,""total_input_row_count"":447371,""normal"":443713,""general"":3658,""fallback"":0,""unresolved"":0},""output"":{""normal"":447371,""except"":0},""timings"":{""fast_path_execution_time"":2.97926,""general_and_interpreter_time"":0.067882,""compile_time"":0.119035,""hyperspecialization_time"":0.232398},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_06.csv,0,3.35425,"{""input"":{""input_file_count"":1,""total_input_row_count"":437395,""normal"":433444,""general"":3951,""fallback"":0,""unresolved"":0},""output"":{""normal"":437395,""except"":0},""timings"":{""fast_path_execution_time"":2.91855,""general_and_interpreter_time"":0.0676861,""compile_time"":0.119059,""hyperspecialization_time"":0.181465},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_07.csv,0,3.47987,"{""input"":{""input_file_count"":1,""total_input_row_count"":455057,""normal"":450535,""general"":4522,""fallback"":0,""unresolved"":0},""output"":{""normal"":455057,""except"":0},""timings"":{""fast_path_execution_time"":3.04061,""general_and_interpreter_time"":0.068688,""compile_time"":0.118788,""hyperspecialization_time"":0.182638},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_08.csv,0,3.51617,"{""input"":{""input_file_count"":1,""total_input_row_count"":457886,""normal"":453486,""general"":4400,""fallback"":0,""unresolved"":0},""output"":{""normal"":457886,""except"":0},""timings"":{""fast_path_execution_time"":3.07356,""general_and_interpreter_time"":0.0681226,""compile_time"":0.119069,""hyperspecialization_time"":0.184153},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_09.csv,0,3.32273,"{""input"":{""input_file_count"":1,""total_input_row_count"":435638,""normal"":431148,""general"":4490,""fallback"":0,""unresolved"":0},""output"":{""normal"":435638,""except"":0},""timings"":{""fast_path_execution_time"":2.88439,""general_and_interpreter_time"":0.0680831,""compile_time"":0.118912,""hyperspecialization_time"":0.185841},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_10.csv,0,3.49762,"{""input"":{""input_file_count"":1,""total_input_row_count"":455047,""normal"":451046,""general"":4001,""fallback"":0,""unresolved"":0},""output"":{""normal"":455047,""except"":0},""timings"":{""fast_path_execution_time"":3.05397,""general_and_interpreter_time"":0.0679699,""compile_time"":0.118994,""hyperspecialization_time"":0.186613},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_11.csv,0,3.32413,"{""input"":{""input_file_count"":1,""total_input_row_count"":428781,""normal"":425824,""general"":2957,""fallback"":0,""unresolved"":0},""output"":{""normal"":428781,""except"":0},""timings"":{""fast_path_execution_time"":2.88418,""general_and_interpreter_time"":0.0671767,""compile_time"":0.118813,""hyperspecialization_time"":0.188156},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1990_12.csv,0,3.40927,"{""input"":{""input_file_count"":1,""total_input_row_count"":436352,""normal"":424592,""general"":11760,""fallback"":0,""unresolved"":0},""output"":{""normal"":436352,""except"":0},""timings"":{""fast_path_execution_time"":2.95775,""general_and_interpreter_time"":0.0720351,""compile_time"":0.118911,""hyperspecialization_time"":0.190247},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_01.csv,0,3.32048,"{""input"":{""input_file_count"":1,""total_input_row_count"":427264,""normal"":416206,""general"":11058,""fallback"":0,""unresolved"":0},""output"":{""normal"":427264,""except"":0},""timings"":{""fast_path_execution_time"":2.86937,""general_and_interpreter_time"":0.0714548,""compile_time"":0.118894,""hyperspecialization_time"":0.192444},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_02.csv,0,3.02202,"{""input"":{""input_file_count"":1,""total_input_row_count"":387120,""normal"":379661,""general"":7459,""fallback"":0,""unresolved"":0},""output"":{""normal"":387120,""except"":0},""timings"":{""fast_path_execution_time"":2.58032,""general_and_interpreter_time"":0.0695271,""compile_time"":0.118965,""hyperspecialization_time"":0.192883},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_03.csv,0,3.31748,"{""input"":{""input_file_count"":1,""total_input_row_count"":429314,""normal"":424281,""general"":5033,""fallback"":0,""unresolved"":0},""output"":{""normal"":429314,""except"":0},""timings"":{""fast_path_execution_time"":2.86853,""general_and_interpreter_time"":0.0680239,""compile_time"":0.118933,""hyperspecialization_time"":0.195847},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_04.csv,0,3.2716,"{""input"":{""input_file_count"":1,""total_input_row_count"":422196,""normal"":418299,""general"":3897,""fallback"":0,""unresolved"":0},""output"":{""normal"":422196,""except"":0},""timings"":{""fast_path_execution_time"":2.82236,""general_and_interpreter_time"":0.0677096,""compile_time"":0.118615,""hyperspecialization_time"":0.197823},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_05.csv,0,3.30114,"{""input"":{""input_file_count"":1,""total_input_row_count"":430116,""normal"":20015,""general"":410101,""fallback"":0,""unresolved"":0},""output"":{""normal"":430116,""except"":0},""timings"":{""fast_path_execution_time"":2.57704,""general_and_interpreter_time"":0.354674,""compile_time"":0.11785,""hyperspecialization_time"":0.202516},""hyper_active"":true}"
hyper,/hot/data/flights_all/flights_on_time_performance_1991_06.csv,0,3.27068,"{""input"":{""input_file_count"":1,""total_input_row_count"":424589,""normal"":30550,""general"":394039,""fallback"":0,""unresolved"":0},""output"":{""normal"":424589,""except"":0},""timings"":{""fast_path_execution_time"":2.55403,""general_and_interpreter_time"":0.343925,""compile_time"":0.118295,""hyperspecialization_time"":0.205705},""hyper_active"":true}"
