year,month,day,carrier,flightno,origin,dest,distance,dep_delay,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,11,23,YV,6038,11193,13930,264.0,0.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,29,YV,6242,12264,12953,229.0,-1.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,23,YV,6282,12266,12953,1416.0,-4.0,32.0,0.00,0.00,32.00,0.00,0.00
2021,11,23,YV,6309,12266,14524,1157.0,-1.0,30.0,0.00,0.00,30.00,0.00,0.00
2021,11,18,YV,6138,13930,12451,864.0,0.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,20,YV,6015,12264,10397,534.0,-1.0,168.0,0.00,0.00,168.00,0.00,0.00
2021,11,4,YV,6110,12266,14683,191.0,0.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,18,YV,6020,12266,14492,1042.0,-12.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,4,YV,6147,13930,11193,264.0,-1.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,21,YV,6317,10397,12266,689.0,-2.0,21.0,0.00,0.00,21.00,0.00,0.00
2021,11,20,YV,6355,12266,14685,851.0,-5.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,20,YV,6364,14027,12264,859.0,-3.0,38.0,0.00,0.00,38.00,0.00,0.00
2021,11,1,YV,6120,10529,12264,326.0,-7.0,25.0,0.00,0.00,25.00,0.00,0.00
2021,11,3,YV,6244,12266,13851,395.0,-2.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,3,YV,6057,12264,12266,1190.0,-6.0,22.0,0.00,0.00,22.00,0.00,0.00
2021,11,11,YV,6195,12266,14027,956.0,0.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,11,YV,6222,12266,11624,915.0,0.0,46.0,0.00,0.00,46.00,0.00,0.00
2021,11,17,YV,6056,12264,12953,229.0,-3.0,24.0,0.00,0.00,24.00,0.00,0.00
2021,11,17,YV,6066,13930,10397,606.0,0.0,21.0,0.00,0.00,21.00,0.00,0.00
2021,11,15,YV,6145,13930,13851,693.0,0.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,3,YV,6312,14027,12266,956.0,-5.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,15,YV,6153,12264,12953,229.0,0.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,9,YV,6309,12266,14524,1157.0,-10.0,23.0,0.00,0.00,23.00,0.00,0.00
2021,11,11,YV,6018,11057,13930,599.0,-5.0,20.0,0.00,0.00,20.00,0.00,0.00
2021,11,20,YV,6185,12264,12451,630.0,-1.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,3,YV,6150,13930,13931,717.0,-1.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,11,YV,6056,12264,12953,229.0,-1.0,21.0,0.00,0.00,21.00,0.00,0.00
2021,11,11,YV,6062,13930,11278,612.0,0.0,39.0,0.00,0.00,39.00,0.00,0.00
2021,11,5,YV,6183,12266,13158,429.0,-2.0,68.0,0.00,0.00,68.00,0.00,0.00
2021,11,11,YV,6078,11193,12264,388.0,-5.0,25.0,0.00,0.00,25.00,0.00,0.00
2021,11,3,YV,6180,12266,10397,689.0,0.0,29.0,0.00,0.00,29.00,0.00,0.00
2021,11,21,YV,6168,14683,12266,191.0,-6.0,25.0,0.00,0.00,25.00,0.00,0.00
2021,11,3,YV,6200,12264,13931,157.0,-4.0,29.0,0.00,0.00,29.00,0.00,0.00
2021,11,17,YV,6293,12266,13931,1201.0,-2.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,6,YV,6204,12266,11278,1208.0,0.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,6,YV,6251,12266,14986,796.0,0.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,5,YV,6136,12266,12953,1416.0,0.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,7,YV,6309,12266,14524,1157.0,-1.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,30,YV,6083,11057,13930,599.0,0.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,30,YV,6161,11057,12266,912.0,-2.0,25.0,0.00,0.00,25.00,0.00,0.00
2021,11,30,YV,6167,14685,12266,851.0,-8.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,30,YV,6291,12266,13487,1034.0,-3.0,22.0,0.00,0.00,22.00,0.00,0.00
2021,11,30,YV,6342,13487,12266,1034.0,0.0,42.0,0.00,0.00,42.00,0.00,0.00
2021,11,26,YV,6227,12266,13303,964.0,-3.0,-30.0,,,,,
2021,11,26,YV,6228,12264,14492,224.0,-3.0,-23.0,,,,,
2021,11,27,YV,6228,12264,14492,224.0,20.0,-3.0,,,,,
2021,11,27,YV,6228,14492,12264,224.0,-4.0,-22.0,,,,,
2021,11,27,YV,6064,12266,11066,986.0,-11.0,-34.0,,,,,
2021,11,27,YV,6065,10693,12266,657.0,-1.0,-29.0,,,,,
2021,11,26,YV,6066,13930,10397,606.0,-4.0,-26.0,,,,,
2021,11,27,YV,6066,13930,10397,606.0,-5.0,-23.0,,,,,
2021,11,26,YV,6067,10397,12264,534.0,-4.0,12.0,,,,,
2021,11,27,YV,6067,10397,12264,534.0,12.0,13.0,,,,,
2021,11,26,YV,6069,12266,11298,224.0,-2.0,-18.0,,,,,
2021,11,24,YV,6043,13487,12266,1034.0,0.0,-1.0,,,,,
2021,11,24,YV,6044,12266,13851,395.0,0.0,-6.0,,,,,
2021,11,24,YV,6046,11298,12264,1172.0,0.0,-4.0,,,,,
2021,11,24,YV,6048,12266,11193,871.0,-4.0,-25.0,,,,,
2021,11,24,YV,6049,11986,12266,1042.0,-6.0,-35.0,,,,,
