year,month,day,carrier,flightno,origin,dest,distance,dep_delay,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,11,10,YV,6103,13930,11057,599.00000000,-4.00000000,17.00000000,0.00000000,0.00000000,17.00000000,0.00000000,0.00000000
2021,11,8,YV,6103,13930,11057,599.00000000,-3.00000000,17.00000000,0.00000000,0.00000000,17.00000000,0.00000000,0.00000000
2021,11,10,YV,6123,13930,11298,801.00000000,0.00000000,72.00000000,0.00000000,0.00000000,72.00000000,0.00000000,0.00000000
2021,11,25,YV,6042,10423,12266,140.00000000,-2.00000000,28.00000000,0.00000000,0.00000000,28.00000000,0.00000000,0.00000000
2021,11,18,YV,6079,12264,14986,849.00000000,-2.00000000,19.00000000,0.00000000,0.00000000,19.00000000,0.00000000,0.00000000
2021,11,25,YV,6342,13487,12266,1034.00000000,0.00000000,16.00000000,0.00000000,0.00000000,16.00000000,0.00000000,0.00000000
2021,11,10,YV,6160,15376,13930,1437.00000000,0.00000000,23.00000000,0.00000000,0.00000000,23.00000000,0.00000000,0.00000000
2021,11,19,YV,6273,14730,12266,788.00000000,0.00000000,16.00000000,0.00000000,0.00000000,16.00000000,0.00000000,0.00000000
2021,11,4,YV,6013,12266,14492,1042.00000000,-2.00000000,28.00000000,0.00000000,0.00000000,28.00000000,0.00000000,0.00000000
2021,11,23,YV,6213,10693,12264,542.00000000,-1.00000000,20.00000000,0.00000000,0.00000000,20.00000000,0.00000000,0.00000000
2021,11,23,YV,6223,14576,12264,288.00000000,0.00000000,36.00000000,0.00000000,0.00000000,36.00000000,0.00000000,0.00000000
2021,11,25,YV,6110,12266,14683,191.00000000,0.00000000,18.00000000,0.00000000,0.00000000,18.00000000,0.00000000,0.00000000
2021,11,29,YV,6222,12266,11624,915.00000000,-5.00000000,26.00000000,0.00000000,0.00000000,26.00000000,0.00000000,0.00000000
2021,11,4,YV,6038,11193,13930,264.00000000,-7.00000000,17.00000000,0.00000000,0.00000000,17.00000000,0.00000000,0.00000000
2021,11,23,YV,6038,11193,13930,264.00000000,0.00000000,15.00000000,0.00000000,0.00000000,15.00000000,0.00000000,0.00000000
2021,11,29,YV,6242,12264,12953,229.00000000,-1.00000000,17.00000000,0.00000000,0.00000000,17.00000000,0.00000000,0.00000000
2021,11,23,YV,6282,12266,12953,1416.00000000,-4.00000000,32.00000000,0.00000000,0.00000000,32.00000000,0.00000000,0.00000000
2021,11,23,YV,6309,12266,14524,1157.00000000,-1.00000000,30.00000000,0.00000000,0.00000000,30.00000000,0.00000000,0.00000000
2021,11,18,YV,6138,13930,12451,864.00000000,0.00000000,16.00000000,0.00000000,0.00000000,16.00000000,0.00000000,0.00000000
2021,11,20,YV,6015,12264,10397,534.00000000,-1.00000000,168.00000000,0.00000000,0.00000000,168.00000000,0.00000000,0.00000000
2021,11,4,YV,6110,12266,14683,191.00000000,0.00000000,26.00000000,0.00000000,0.00000000,26.00000000,0.00000000,0.00000000
